grain name,mineral,crystallization age [Ma],halfwidth [um],raw He age [Ma],raw He age sigma [Ma],U238 [ppm],Th232 [ppm],Sm147 [ppm],FT age [Ma],FT age sigma [Ma],track length [um],track angle [degrees],dpar [um],F [apfu],Cl [apfu],OH [apfu],rmr0,reference
97-10-499,apatite,2500,,,,,,,,,14.36,33.55,1.92,1.479,0.006,0.515,0.818,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,10.91,46.66,1.92,1.479,0.006,0.515,0.818,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,11.34,47.3,1.92,1.479,0.006,0.515,0.818,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,11.86,69.88,1.92,1.479,0.006,0.515,0.818,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,13.26,33.85,1.92,1.479,0.006,0.515,0.818,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,13.13,32.96,1.92,1.479,0.006,0.515,0.818,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,12.65,57.08,1.92,1.479,0.006,0.515,0.818,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,13.68,44.01,1.92,1.479,0.006,0.515,0.818,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,13.84,74.92,1.92,1.479,0.006,0.515,0.818,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,12.47,53.07,1.92,1.479,0.006,0.515,0.818,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,13.43,68.59,1.92,1.479,0.006,0.515,0.818,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,12.61,50.04,1.92,1.479,0.006,0.515,0.818,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,12.94,49.43,1.92,1.479,0.006,0.515,0.818,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,14.27,79.21,1.92,1.479,0.006,0.515,0.818,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,13.71,67.87,1.9,1.519,0.002,0.479,0.832,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,13.49,44.86,1.9,1.519,0.002,0.479,0.832,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,14.56,17.28,1.9,1.519,0.002,0.479,0.832,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,12.04,77.14,1.9,1.519,0.002,0.479,0.832,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,11.25,37.96,1.9,1.519,0.002,0.479,0.832,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,12.75,45.6,1.9,1.519,0.002,0.479,0.832,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,15.3,12.79,1.9,1.519,0.002,0.479,0.832,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,13.72,50.35,2.23,1.584,0.003,0.413,0.842,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,11.07,68.64,2.13,1.477,0.006,0.517,0.821,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,10.8,54.43,2.13,1.477,0.006,0.517,0.821,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,14.2,40.05,2.13,1.477,0.006,0.517,0.821,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,10.51,47.08,2.13,1.477,0.006,0.517,0.821,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,16.36,37.69,2.13,1.477,0.006,0.517,0.821,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,11.09,39.89,2.13,1.477,0.006,0.517,0.821,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,14.85,61.05,2.13,1.477,0.006,0.517,0.821,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,15.27,50.85,2.13,1.477,0.006,0.517,0.821,McDannell & Keller (2022)
97-10-499,apatite,2500,,,,,,,,,10.82,75.57,2.13,1.477,0.006,0.517,0.821,McDannell & Keller (2022)
