step,time [s],temperature [C],He-3,He-3 sigma,He-4/He-3,He-4/He-3 sigma,fit
1,1368,260,0.111,0.013,922,124,0
2,1836,290,0.151,0.016,724,83,1
3,2376,300,0.089,0.012,1050,157,1
4,2376,310,0.122,0.014,680,93,1
5,1656,330,0.112,0.014,901,122,1
6,1620,340,0.125,0.014,813,108,1
7,1728,350,0.121,0.014,654,89,1
8,2376,350,0.095,0.012,742,118,1
9,1908,370,0.11,0.013,1244,161,1
10,1728,400,0.175,0.017,900,91,1
11,1800,410,0.153,0.016,953,103,1
12,2016,420,0.247,0.021,1043,86,1
13,2268,440,0.331,0.024,1039,78,1
14,1800,475,0.415,0.027,1145,70,1
15,1800,500,0.364,0.025,1345,90,1
16,1800,550,0.295,0.023,1268,95,1
17,1800,700,0.479,0.029,1241,71,1
18,1800,900,0.219,0.019,1430,122,0
