time [s],temperature [C],fraction degassed,age [Ma],age sigma [Ma],fit,domain,Ea [kJ/mol],ln(D0/a^2),volume fraction
930,441.777,0.00115734694926106,1278.29652899992,26.4123097336497,0,1,199.0466872,17.439088718809,0.018458
930,471.687,0.00179943098128296,719.868976798103,66.8812846800605,0,2,199.0466872,15.2299885805905,0.066416
930,491.627,0.00258804064928776,582.066021813927,55.0531324645951,0,3,199.0466872,13.7148875894004,0.051527
930,491.627,0.00314789976401626,549.113995740865,82.5016148569101,1,4,199.0466872,11.5090110703121,0.045222
930,511.567,0.00413221083336304,593.667705399836,44.0062173511264,0,5,199.0466872,9.50069635220273,0.069872
930,511.567,0.00491501774662738,537.298823297804,56.8112443490741,1,6,199.0466872,8.21608412882135,0.086154
930,531.507,0.00626626021285185,554.533091203879,32.18804384512,1,7,199.0466872,7.23426184516869,0.078484
930,531.507,0.00736341462729246,556.104873673753,37.5743302169801,1,8,199.0466872,5.97958322799624,0.074444
930,551.447,0.00930964758086841,580.383704951548,23.0370751715817,1,9,199.0466872,5.19002679960858,0.065524
930,551.447,0.0108974993262351,585.710228709189,28.6484109735962,1,10,199.0466872,2.87823136624256,0.443899
930,571.387,0.013506272495378,615.632700082454,15.8640395894833,1,,,,
930,571.387,0.0156258334110798,645.980031978972,19.2654368671273,1,,,,
930,601.297,0.0207023455507403,685.461650634231,8.08349553846997,1,,,,
930,601.297,0.0243700896865858,693.369373445974,11.1452454984814,1,,,,
930,621.237,0.0297314784633602,701.313827114686,7.51433200321283,1,,,,
930,621.237,0.0338834108445594,718.569137783458,11.0795860592481,1,,,,
930,651.147,0.0428143947717983,747.900740833605,4.21210497519197,1,,,,
930,651.147,0.0491614433292347,744.899313054161,6.19001936939207,1,,,,
930,681.057,0.060421167334536,758.397865236981,3.80442694175367,1,,,,
930,681.057,0.0684018456399071,764.095646130997,5.0840804130003,1,,,,
930,710.967,0.082424256490868,777.136738130915,2.73541661910136,1,,,,
930,740.877,0.101084095542812,784.702282474558,2.17761579686955,1,,,,
930,770.787,0.122955482018188,790.722633783902,1.85586098335793,1,,,,
930,800.697,0.14395943294347,796.228452997371,1.98336796591499,1,,,,
930,830.607,0.162791534139976,799.76852117861,2.25571012140564,1,,,,
930,860.517,0.18048079365044,802.934825771558,2.19380348841788,1,,,,
930,890.427,0.197432575927576,803.568480005097,2.20680710046064,1,,,,
930,920.337,0.215981428248484,813.030953638463,2.26495686765669,1,,,,
930,950.247,0.237277251738407,819.639266921381,1.88363139316673,1,,,,
930,980.157,0.258506361164663,822.243117470381,2.10777779181143,1,,,,
930,1000.097,0.27938272499126,825.015421372176,2.10817822509284,1,,,,
930,1020.037,0.299656361481116,826.563752921985,2.16125378097557,1,,,,
930,1039.977,0.32107378636364,828.346240244873,2.05160266259656,1,,,,
1830,1039.977,0.350948829505813,833.196076811533,1.96521575383509,1,,,,
3630,1039.977,0.390287135471283,836.635296204549,2.61043090536174,1,,,,
3630,1039.977,0.41640814480171,840.102856231927,3.87497659356165,1,,,,
3630,1039.977,0.436118425448745,840.984346271519,5.15603297143183,1,,,,
3630,1039.977,0.45175811725985,842.750778977619,6.38894728403955,1,,,,
3630,1039.977,0.464955663735903,845.234115763954,7.59347424310922,1,,,,
3630,1039.977,0.476251935101063,843.615647838367,8.94355895377042,1,,,,
3630,1039.977,0.486186767341978,844.790354697723,10.1584128531638,1,,,,
930,1059.917,0.489779180815845,846.809269618707,13.5633559839976,1,,,,
930,1079.857,0.495601552401676,853.741295391134,8.18979352047133,1,,,,
930,1099.797,0.50625420993904,855.221153837401,4.36204761331746,1,,,,
930,1119.737,0.51915453575002,847.716948663228,3.75615682906427,0,,,,
930,1139.677,0.538050490682398,853.239555504999,2.64960515193821,0,,,,
930,1159.617,0.56899553372631,855.913369891851,1.72043847573549,0,,,,
930,1189.527,0.63380810870026,850.363082353616,0.951583103378229,0,,,,
930,1209.467,0.746791751160229,852.966383495454,0.654680860550833,0,,,,
930,1239.377,0.907649788281125,861.857421843285,0.566902551489634,0,,,,
930,1279.257,0.969412603002506,867.599269745033,1.17182413447555,0,,,,
930,1319.137,0.985675415335777,870.318424449088,4.60742968783904,0,,,,
930,1388.927,0.995987938082687,873.563364391815,8.25386760726149,0,,,,
930,1438.777,1,877.567974020443,23.6651542319161,0,,,,
